id,category_id,category_zh,category_ko,category_en,category_name_ko,category_name_en,category_index,image_file,image_alt,korean_product_name,english_product_name,product_name_ko,product_name_en,category_name_es,product_name_es,category_name_pt,product_name_pt,category_name_fr,product_name_fr,category_name_it,product_name_it,category_name_id,product_name_id,category_name_vi,product_name_vi,category_name_th,product_name_th,category_name_ms,product_name_ms,category_name_tl,product_name_tl,category_name_km,product_name_km,category_name_my,product_name_my,category_name_lo,product_name_lo,category_name_ar,product_name_ar,price_krw,price_krw_min,price_krw_max,price_krw_is_range,price_currency,moq,certificates,supplier_name,supplier_name_ko,supplier_name_en,supplier_years,supplier_years_text,supplier_years_ko,supplier_country,supplier_country_ko,supplier_profile_url,supplier_home_url,supplier_company_id,supplier_business_type,supplier_business_type_ko,supplier_employee_count,supplier_employee_count_ko,supplier_response_time,supplier_response_time_ko,supplier_on_time_delivery_rate,supplier_on_time_delivery_rate_ko,supplier_rating,supplier_rating_ko,supplier_total_review_order_count,supplier_total_review_order_count_ko,supplier_verified,supplier_verified_ko,source_url
power-bank-01,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,1,images/power_bank/power_bank_01.png,REMAX FP-22 移动电源,REMAX FP-22 20W+22.5W PD+QC 30000mAh 휴대용 고속 충전 보조배터리,REMAX FP-22 20W+22.5W PD+QC 30000mAh Portable Fast-Charging Power Bank,REMAX FP-22 20W+22.5W PD+QC 30000mAh 휴대용 고속 충전 보조배터리,REMAX FP-22 20W+22.5W PD+QC 30000mAh Portable Fast-Charging Power Bank,Bancos de energía,REMAX FP-22 20W+22.5W PD+QC 30000mAh Banco de energía portátil de carga rápida,Bancos de potência,"REMAX FP-22 20W + 22,5W PD + QC 30000mAh portátil de carregamento rápido banco de potência",Banques d'alimentation,"REMAX FP-22 20W + 22,5W PD + QC 30000mAh Banque d'alimentation portable à charge rapide",Banche di potere,"REMAX FP-22 20W+22,5W PD+QC 30000mAh Power Bank portatile a ricarica rapida",Bank Daya,REMAX FP-22 20W+22.5W PD+QC 30000mAh Bank Daya Pengisian Cepat Portabel,Ngân hàng điện,REMAX FP-22 20W+22.5W PD+QC 30000mAh Sạc dự phòng di động nhanh,พาวเวอร์แบงค์,REMAX FP-22 20W+22.5W PD+QC 30000mAh แบบพกพา Fast-Charging Power Bank,Power Bank,REMAX FP-22 20W+22.5W PD+QC 30000mAh Bank Kuasa Pengecasan Cepat Mudah Alih,Mga Power Bank,REMAX FP-22 20W+22.5W PD+QC 30000mAh Portable Fast-Charge Power Bank,ធនាគារថាមពល,REMAX FP-22 20W+22.5W PD+QC 30000mAh Power Bank សាកថ្មលឿនចល័ត,ပါဝါဘဏ်များ,REMAX FP-22 20W+22.5W PD+QC 30000mAh အိတ်ဆောင် အမြန်အားသွင်းနိုင်သော Power Bank,Power Banks,REMAX FP-22 20W+22.5W PD+QC 30000mAh Power Bank ສາກໄວ Portable,باور بانك,REMAX FP-22 20W+22.5W PD+QC باور بانك محمول سريع الشحن بقدرة 30000 مللي أمبير في الساعة,"₩19,236–21,067",19236,21067,True,KRW,10 pieces,CE,"Shenzhen Remax Technology Co., Ltd.",선전 Remax 테크놀로지 유한회사. (중국),"Shenzhen Remax Technology Co., Ltd.",7,7 yrs,7년,CN,중국,https://remaxhk.en.alibaba.com/company_profile.html,https://remaxhk.en.alibaba.com/index.html?from=detail&productId=1600072513371,250907871,"Manufacturer,Trading Company","제조업체, 무역회사",201-300,201-300명,≤2h,≤2시간,97.1%,정시 배송률 97.1%,4.7,4.7/5점,166,166건,True,인증됨,https://www.alibaba.com/product-detail/REMAX-FP-22-20W-22-5W_1600072513371.html
power-bank-02,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,2,images/power_bank/power_bank_02.png,50000mAh 移动电源,대용량 50000mAh 22.5W 고속 충전 보조배터리 (내장 케이블·휴대용 스트랩),50000mAh 22.5W Fast-Charging Power Bank with Built-in Cable and Carry Strap,대용량 50000mAh 22.5W 고속 충전 보조배터리 (내장 케이블·휴대용 스트랩),50000mAh 22.5W Fast-Charging Power Bank with Built-in Cable and Carry Strap,Bancos de energía,"Banco de energía de carga rápida de 50000 mAh y 22,5 W con cable incorporado y correa de transporte",Bancos de potência,"Power Bank de carregamento rápido de 50000mAh 22,5W com cabo integrado e alça de transporte",Banques d'alimentation,"Banque d'alimentation à charge rapide 50 000 mAh 22,5 W avec câble intégré et sangle de transport",Banche di potere,"Power Bank a ricarica rapida da 50000 mAh 22,5 W con cavo integrato e tracolla",Bank Daya,"Bank Daya Pengisian Cepat 50000mAh 22,5W dengan Kabel Bawaan dan Tali Bawaan",Ngân hàng điện,"Pin dự phòng sạc nhanh 50000mAh 22,5W có cáp tích hợp và dây đeo",พาวเวอร์แบงค์,พาวเวอร์แบงค์ชาร์จเร็วขนาด 50000mAh 22.5W พร้อมสายเคเบิลในตัวและสายสะพาย,Power Bank,Bank Kuasa Pengecasan Pantas 50000mAh 22.5W dengan Kabel Terbina dalam dan Tali Pembawa,Mga Power Bank,50000mAh 22.5W Fast-Charge na Power Bank na may Built-in na Cable at Carry Strap,ធនាគារថាមពល,Power Bank 50000mAh 22.5W Fast-Charging ជាមួយខ្សែភ្ជាប់មកជាមួយ និងខ្សែសម្រាប់ដាក់,ပါဝါဘဏ်များ,50000mAh 22.5W အမြန်အားသွင်းနိုင်သော Power Bank ပါ၀င်သောကြိုးနှင့် သယ်ဆောင်ကြိုးပါ,Power Banks,Power Bank 50000mAh 22.5W Fast-Charging ມີສາຍໃນຕົວ ແລະສາຍພົກພາ,باور بانك,باور بانك سريع الشحن بقدرة 50000 مللي أمبير بقدرة 22.5 وات مع كابل مدمج وحزام للحمل,"₩15,647–17,861",15647,17861,True,KRW,10 pieces,CE,"Shenzhen Xuhongchuang Technology Co., Ltd.",선전 Xuhongchuang 테크놀로지 유한회사. (중국),"Shenzhen Xuhongchuang Technology Co., Ltd.",1,1 yr,1년,CN,중국,https://avebattery8.en.alibaba.com/company_profile.html,https://avebattery8.en.alibaba.com/index.html?from=detail&productId=1601630109541,292099311,"Manufacturer,Trading Company","제조업체, 무역회사",101-200,101-200명,≤3h,≤3시간,100.0%,정시 배송률 100.0%,5.0,5.0/5점,4,4건,False,미인증,https://www.alibaba.com/product-detail/Large-Capacity-50000mah-Power-Banks-Mobile_1601630109541.html
power-bank-03,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,3,images/power_bank/power_bank_03.png,Mcdodo 20000mAh 移动电源,Mcdodo 423 트리플 USB 출력 20000mAh 22.5W 고속 충전 LED 보조배터리,Mcdodo 423 Triple-USB 20000mAh 22.5W Fast-Charging Power Bank with LED Display,Mcdodo 423 트리플 USB 출력 20000mAh 22.5W 고속 충전 LED 보조배터리,Mcdodo 423 Triple-USB 20000mAh 22.5W Fast-Charging Power Bank with LED Display,Bancos de energía,Mcdodo 423 Triple-USB 20000mAh 22.5W Banco de energía de carga rápida con pantalla LED,Bancos de potência,"Mcdodo 423 Triple-USB 20000mAh 22,5W Power Bank de carregamento rápido com display LED",Banques d'alimentation,"Banque d'alimentation à charge rapide Mcdodo 423 triple USB 20 000 mAh 22,5 W avec écran LED",Banche di potere,"Mcdodo 423 Power Bank tripla USB 20000mAh 22,5W a ricarica rapida con display LED",Bank Daya,"Mcdodo 423 Triple-USB 20000mAh 22,5W Bank Daya Pengisian Cepat dengan Layar LED",Ngân hàng điện,"Mcdodo 423 Triple-USB 20000mAh 22,5W Sạc dự phòng nhanh với màn hình LED",พาวเวอร์แบงค์,Mcdodo 423 Triple-USB 20000mAh 22.5W Fast-Charging Power Bank พร้อมจอแสดงผล LED,Power Bank,Mcdodo 423 Triple-USB 20000mAh 22.5W Bank Kuasa Pengecasan Pantas dengan Paparan LED,Mga Power Bank,Mcdodo 423 Triple-USB 20000mAh 22.5W Fast-Charge Power Bank na may LED Display,ធនាគារថាមពល,Mcdodo 423 Triple-USB 20000mAh 22.5W Fast-Charging Power Bank ជាមួយអេក្រង់ LED,ပါဝါဘဏ်များ,Mcdodo 423 Triple-USB 20000mAh 22.5W အမြန်အားသွင်းနိုင်သော LED မျက်နှာပြင်ပါသည့် Power Bank,Power Banks,Mcdodo 423 Triple-USB 20000mAh 22.5W Power Bank ສາກໄວພ້ອມຈໍ LED,باور بانك,بنك الطاقة Mcdodo 423 Triple-USB 20000mAh 22.5W سريع الشحن مع شاشة LED,"₩21,373",21373,21373,False,KRW,10 pieces,CE,"Guangdong Mcdodo Industrial Co., Ltd.",광둥 Mcdodo 산업 유한회사. (중국),"Guangdong Mcdodo Industrial Co., Ltd.",10,10 yrs,10년,CN,중국,https://mcdodo.en.alibaba.com/company_profile.html,https://mcdodo.en.alibaba.com/index.html?from=detail&productId=1600603296155,238666691,Trading Company,무역회사,51-100,51-100명,≤8h,≤8시간,93.8%,정시 배송률 93.8%,4.9,4.9/5점,26,26건,True,인증됨,https://www.alibaba.com/product-detail/Mcdodo-423-Triple-USB-Output-20000mAh_1600603296155.html
power-bank-04,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,4,images/power_bank/power_bank_04.png,PD 22.5W 20000mAh 移动电源,PD 22.5W 고속 충전 20000mAh 휴대용 보조배터리,PD 22.5W Fast-Charging 20000mAh Portable Power Bank,PD 22.5W 고속 충전 20000mAh 휴대용 보조배터리,PD 22.5W Fast-Charging 20000mAh Portable Power Bank,Bancos de energía,Banco de energía portátil de carga rápida PD 22.5W 20000mAh,Bancos de potência,"Banco de energia portátil PD 22,5W de carregamento rápido 20000mAh",Banques d'alimentation,"Banque d'alimentation portable PD 22,5 W à charge rapide 20 000 mAh",Banche di potere,"Power bank portatile PD da 22,5 W a ricarica rapida da 20.000 mAh",Bank Daya,"Bank Daya Portabel 20000mAh Pengisian Cepat PD 22,5W",Ngân hàng điện,"Sạc dự phòng di động 20000mAh sạc nhanh PD 22,5W",พาวเวอร์แบงค์,PD 22.5W พาวเวอร์แบงค์พกพาขนาด 20000mAh ที่ชาร์จเร็ว,Power Bank,Bank Kuasa Mudah Alih PD 22.5W Pengecasan Pantas 20000mAh,Mga Power Bank,PD 22.5W Mabilis na Nagcha-charge 20000mAh Portable Power Bank,ធនាគារថាមពល,PD 22.5W Fast-Charging 20000mAh Power Bank ចល័ត,ပါဝါဘဏ်များ,PD 22.5W Fast-Charging 20000mAh Portable Power Bank,Power Banks,PD 22.5W Fast-Charging 20000mAh Power Bank ແບບພົກພາ,باور بانك,بنك الطاقة المحمول PD 22.5 واط سريع الشحن 20000 مللي أمبير في الساعة,"₩9,619–10,533",9619,10533,True,KRW,"2,000 pieces",CE; RoHS,"Shenzhen Fxn Electronics Technology Co., Ltd.",선전 Fxn 전자 테크놀로지 유한회사. (중국),"Shenzhen Fxn Electronics Technology Co., Ltd.",12,12 yrs,12년,CN,중국,https://bolomi.en.alibaba.com/company_profile.html,https://bolomi.en.alibaba.com/index.html?from=detail&productId=1600953041160,231532148,"Manufacturer,Trading Company","제조업체, 무역회사",51-100,51-100명,≤3h,≤3시간,69.2%,정시 배송률 69.2%,4.6,4.6/5점,27,27건,True,인증됨,https://www.alibaba.com/product-detail/2025-New-Products-PD-22-5W_1600953041160.html
power-bank-05,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,5,images/power_bank/power_bank_05.png,8000/10000mAh 移动电源,휴대용 8000/10000mAh 대용량 스마트폰 보조배터리,Portable 8000/10000mAh High-Capacity Smartphone Power Bank,휴대용 8000/10000mAh 대용량 스마트폰 보조배터리,Portable 8000/10000mAh High-Capacity Smartphone Power Bank,Bancos de energía,Banco de energía portátil para teléfono inteligente de alta capacidad 8000/10000mAh,Bancos de potência,Banco de energia portátil para smartphone de alta capacidade 8000/10000mAh,Banques d'alimentation,Banque d'alimentation portable pour smartphone haute capacité 8 000/10 000 mAh,Banche di potere,Power Bank portatile per smartphone ad alta capacità da 8000/10000 mAh,Bank Daya,Bank Daya Ponsel Cerdas Portabel Berkapasitas Tinggi 8000/10000mAh,Ngân hàng điện,Ngân hàng điện thoại thông minh dung lượng cao 8000/10000mAh di động,พาวเวอร์แบงค์,พาวเวอร์แบงค์สมาร์ทโฟนความจุสูงแบบพกพาขนาด 8000/10000mAh,Power Bank,Bank Kuasa Telefon Pintar Berkapasiti Tinggi Mudah Alih 8000/10000mAh,Mga Power Bank,Portable na 8000/10000mAh High-Capacity na Smartphone Power Bank,ធនាគារថាមពល,Power Bank ស្មាតហ្វូនដែលមានសមត្ថភាពខ្ពស់ 8000/10000mAh,ပါဝါဘဏ်များ,အိတ်ဆောင် 8000/10000mAh စွမ်းရည်မြင့် စမတ်ဖုန်း Power Bank,Power Banks,Portable 8000/10000mAh Smartphone ຄວາມຈຸສູງ Power Bank,باور بانك,بنك الطاقة المحمول عالي السعة 8000/10000 مللي أمبير للهواتف الذكية,"₩6,001–6,993",6001,6993,True,KRW,10 pieces,CE,"Shenzhen Istyle Technology Co., Ltd.",선전 Istyle 테크놀로지 유한회사. (중국),"Shenzhen Istyle Technology Co., Ltd.",5,5 yrs,5년,CN,중국,https://istylesz02.en.alibaba.com/company_profile.html,https://istylesz02.en.alibaba.com/index.html?from=detail&productId=1601400656352,257109938,"Manufacturer,Trading Company","제조업체, 무역회사",51-100,51-100명,≤2h,≤2시간,97.4%,정시 배송률 97.4%,4.5,4.5/5점,16,16건,True,인증됨,https://www.alibaba.com/product-detail/Portable-Powerbank-Portable-Mobile-Phone-Battery_1601400656352.html
power-bank-06,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,6,images/power_bank/power_bank_06.png,超薄无线磁吸移动电源,초슬림 5000/10000mAh 15W 마그네틱 무선 보조배터리 (로고 맞춤 제작),Ultra-Slim 5000/10000mAh 15W Magnetic Wireless Power Bank with Custom Logo,초슬림 5000/10000mAh 15W 마그네틱 무선 보조배터리 (로고 맞춤 제작),Ultra-Slim 5000/10000mAh 15W Magnetic Wireless Power Bank with Custom Logo,Bancos de energía,Banco inalámbrico magnético ultradelgado del poder de 5000/10000mAh 15W con el logotipo de encargo,Bancos de potência,Banco de potência sem fio magnético ultrafino 5000/10000mAh 15W com logotipo personalizado,Banques d'alimentation,Banque d'alimentation magnétique sans fil ultra-mince 5000/10000mAh 15W avec logo personnalisé,Banche di potere,Power bank wireless magnetico ultrasottile da 5000/10000 mAh 15 W con logo personalizzato,Bank Daya,Bank Daya Nirkabel Magnetik Ultra-Slim 5000/10000mAh 15W dengan Logo Kustom,Ngân hàng điện,Sạc dự phòng không dây từ tính siêu mỏng 5000/10000mAh 15W có logo tùy chỉnh,พาวเวอร์แบงค์,พาวเวอร์แบงค์ไร้สายแม่เหล็กขนาด 5000/10000mAh ขนาดบางเฉียบขนาด 5000/10000mAh พร้อมโลโก้ที่กำหนดเอง,Power Bank,Bank Kuasa Wayarles Magnet 5000/10000mAh Ultra-Slim 15W dengan Logo Tersuai,Mga Power Bank,Ultra-Slim 5000/10000mAh 15W Magnetic Wireless Power Bank na may Custom na Logo,ធនាគារថាមពល,Ultra-Slim 5000/10000mAh 15W Magnetic Wireless Power Bank ដែលមាននិមិត្តសញ្ញាផ្ទាល់ខ្លួន,ပါဝါဘဏ်များ,စိတ်ကြိုက်လိုဂိုပါသည့် 15W သံလိုက်ကြိုးမဲ့ ပါဝါဘဏ်၊,Power Banks,Ultra-Slim 5000/10000mAh 15W Magnetic Wireless Power Bank ພ້ອມໂລໂກ້ແບບກຳນົດເອງ,باور بانك,بنك طاقة لاسلكي مغناطيسي فائق النحافة بقدرة 5000/10000 مللي أمبير بقدرة 15 وات مع شعار مخصص,"₩8,702–9,924",8702,9924,True,KRW,10 pieces,CE,"Shenzhen XTW Electronic Co., Ltd.",선전 XTW 전자 유한회사. (중국),"Shenzhen XTW Electronic Co., Ltd.",11,11 yrs,11년,CN,중국,https://xingtuowei.en.alibaba.com/company_profile.html,https://xingtuowei.en.alibaba.com/index.html?from=detail&productId=1601623167099,213642656,Trading Company,무역회사,11-50,11-50명,≤3h,≤3시간,94.0%,정시 배송률 94.0%,4.6,4.6/5점,15,15건,True,인증됨,https://www.alibaba.com/product-detail/Super-Slim-5000mAh-Power-Bank-With_1601623167099.html
power-bank-07,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,7,images/power_bank/power_bank_07.png,PD100W 笔记本移动电源,PD100W 디지털 표시 20000mAh 리튬폴리머 노트북 고속 충전 보조배터리,PD100W 20000mAh Li-Polymer Laptop Power Bank with Digital Display,PD100W 디지털 표시 20000mAh 리튬폴리머 노트북 고속 충전 보조배터리,PD100W 20000mAh Li-Polymer Laptop Power Bank with Digital Display,Bancos de energía,PD100W 20000mAh Banco de energía para computadora portátil de polímero de litio con pantalla digital,Bancos de potência,Banco de potência para laptop de polímero de lítio PD100W 20000mAh com display digital,Banques d'alimentation,Banque d'alimentation pour ordinateur portable Li-Polymère PD100W 20 000 mAh avec affichage numérique,Banche di potere,Power bank portatile ai polimeri di litio PD100W 20000mAh con display digitale,Bank Daya,Bank Daya Laptop Li-Polimer PD100W 20000mAh dengan Tampilan Digital,Ngân hàng điện,Sạc dự phòng cho máy tính xách tay Li-Polymer PD100W 20000mAh có màn hình kỹ thuật số,พาวเวอร์แบงค์,PD100W 20000mAh Li-Polymer แล็ปท็อป Power Bank พร้อมจอแสดงผลดิจิตอล,Power Bank,Bank Kuasa Laptop Li-Polymer PD100W 20000mAh dengan Paparan Digital,Mga Power Bank,PD100W 20000mAh Li-Polymer Laptop Power Bank na may Digital Display,ធនាគារថាមពល,PD100W 20000mAh Li-Polymer Laptop Power Bank ជាមួយនឹងអេក្រង់ឌីជីថល,ပါဝါဘဏ်များ,PD100W 20000mAh Li-Polymer Laptop Power Bank သည် ဒစ်ဂျစ်တယ်မျက်နှာပြင်ပါရှိသည်။,Power Banks,PD100W 20000mAh Li-Polymer Laptop Power Bank ທີ່ມີຈໍສະແດງຜົນດິຈິຕອນ,باور بانك,باور بانك للكمبيوتر المحمول PD100W 20000mAh Li-Polymer مع شاشة رقمية,"₩22,882–25,493",22882,25493,True,KRW,20 pieces,CE,"Shenzhen Infinite Technology Co., Ltd.",선전 Infinite 테크놀로지 유한회사. (중국),"Shenzhen Infinite Technology Co., Ltd.",9,9 yrs,9년,CN,중국,https://infinitetech.en.alibaba.com/company_profile.html,https://infinitetech.en.alibaba.com/index.html?from=detail&productId=1601492254458,242253275,Trading Company,무역회사,11-50,11-50명,≤4h,≤4시간,92.4%,정시 배송률 92.4%,4.8,4.8/5점,149,149건,True,인증됨,https://www.alibaba.com/product-detail/Hot-Selling-PD100W-Portable-Digital-Display_1601492254458.html
power-bank-08,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,8,images/power_bank/power_bank_08.png,定制标志 10000mAh 移动电源,로고 맞춤형 10000mAh 보조배터리 (듀얼 USB 출력·Type-C 입력),Custom-Logo 10000mAh Power Bank with Dual USB Output and Type-C Input,로고 맞춤형 10000mAh 보조배터리 (듀얼 USB 출력·Type-C 입력),Custom-Logo 10000mAh Power Bank with Dual USB Output and Type-C Input,Bancos de energía,Banco de energía de 10000 mAh con logotipo personalizado con salida USB dual y entrada tipo C,Bancos de potência,Power Bank de 10000mAh com logotipo personalizado com saída USB dupla e entrada tipo C,Banques d'alimentation,Banque d'alimentation 10 000 mAh avec logo personnalisé avec double sortie USB et entrée Type-C,Banche di potere,Power Bank da 10.000 mAh con logo personalizzato con doppia uscita USB e ingresso di tipo C,Bank Daya,Bank Daya 10000mAh Logo Kustom dengan Output USB Ganda dan Input Tipe-C,Ngân hàng điện,Ngân hàng điện 10000mAh có logo tùy chỉnh với đầu ra USB kép và đầu vào Type-C,พาวเวอร์แบงค์,ธนาคารพลังงาน 10000mAh โลโก้ที่กำหนดเองพร้อมเอาต์พุต USB คู่และอินพุต Type-C,Power Bank,Bank Kuasa 10000mAh Logo Tersuai dengan Output USB Dwi dan Input Jenis-C,Mga Power Bank,Custom-Logo 10000mAh Power Bank na may Dual USB Output at Type-C Input,ធនាគារថាមពល,Custom-Logo 10000mAh Power Bank ជាមួយ Dual USB Output និង Type-C Input,ပါဝါဘဏ်များ,Dual USB Output နှင့် Type-C Input ပါရှိသည့် Custom-Logo 10000mAh Power Bank,Power Banks,Custom-Logo 10000mAh Power Bank ມີຊ່ອງສຽບ USB ຄູ່ ແລະ ວັດສະດຸປ້ອນ Type-C,باور بانك,بنك طاقة بسعة 10000 مللي أمبير بشعار مخصص مع مخرج USB مزدوج ومدخل من النوع C,"₩5,481–6,413",5481,6413,True,KRW,50 pieces,CE,Shenzhen Honstar Memory Technology Limited,선전 Honstar Memory 테크놀로지 유한회사 (중국),Shenzhen Honstar Memory Technology Limited,9,9 yrs,9년,CN,중국,https://honstarmemory.en.alibaba.com/company_profile.html,https://honstarmemory.en.alibaba.com/index.html?from=detail&productId=1600180547922,240777554,Trading Company,무역회사,11-50,11-50명,≤2h,≤2시간,97.3%,정시 배송률 97.3%,4.9,4.9/5점,157,157건,True,인증됨,https://www.alibaba.com/product-detail/Customized-Logo-Portable-10000mAh-Power-Bank_1600180547922.html
power-bank-09,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,9,images/power_bank/power_bank_09.png,LISEN 超薄磁吸移动电源,LISEN 초슬림 5000mAh 마그네틱 무선 고속 충전 보조배터리,LISEN Ultra-Slim 5000mAh Magnetic Wireless Fast-Charging Power Bank,LISEN 초슬림 5000mAh 마그네틱 무선 고속 충전 보조배터리,LISEN Ultra-Slim 5000mAh Magnetic Wireless Fast-Charging Power Bank,Bancos de energía,LISEN Banco de energía de carga rápida inalámbrico magnético ultradelgado de 5000 mAh,Bancos de potência,LISEN Ultra-Slim 5000mAh magnético sem fio de carregamento rápido Power Bank,Banques d'alimentation,Banque d'alimentation magnétique sans fil ultra fine LISEN à charge rapide de 5 000 mAh,Banche di potere,Power bank magnetico wireless ultrasottile LISEN da 5000 mAh a ricarica rapida,Bank Daya,LISEN Bank Daya Pengisian Cepat Nirkabel Magnetik Ultra-Slim 5000mAh,Ngân hàng điện,Ngân hàng điện sạc nhanh không dây từ tính LISEN siêu mỏng 5000mAh,พาวเวอร์แบงค์,LISEN พาวเวอร์แบงค์ชาร์จเร็วไร้สายแม่เหล็กขนาดบางเฉียบ 5000mAh,Power Bank,LISEN Ultra-Slim 5000mAh Bank Kuasa Pengecas Cepat Wayarles Magnet,Mga Power Bank,LISEN Ultra-Slim 5000mAh Magnetic Wireless Fast-Charging Power Bank,ធនាគារថាមពល,LISEN Ultra-Slim 5000mAh Magnetic Wireless Fast-Charging Power Bank,ပါဝါဘဏ်များ,LISEN Ultra-Slim 5000mAh သံလိုက်ကြိုးမဲ့ အမြန်အားသွင်းနိုင်သော Power Bank,Power Banks,LISEN Ultra-Slim 5000mAh Magnetic Wireless Charging Fast-Bank,باور بانك,بنك طاقة LISEN فائق النحافة بقدرة 5000 مللي أمبير في الساعة مغناطيسي لاسلكي وسريع الشحن,"₩15,847–16,700",15847,16700,True,KRW,5 pieces,CE,"Shenzhen Xinjintai Trading Co., Ltd.",선전 Xinjintai 무역 유한회사. (중국),"Shenzhen Xinjintai Trading Co., Ltd.",1,1 yr,1년,CN,중국,https://xinjintailisen.en.alibaba.com/company_profile.html,https://xinjintailisen.en.alibaba.com/index.html?from=detail&productId=1601674441049,292278488,Trading Company,무역회사,101-200,101-200명,≤2h,≤2시간,96.9%,정시 배송률 96.9%,4.9,4.9/5점,11,11건,False,미인증,https://www.alibaba.com/product-detail/LISEN-New-Ultra-Slim-Fast-Charging_1601674441049.html
power-bank-10,power-bank,移动电源,보조배터리,Power Banks,보조배터리,Power Banks,10,images/power_bank/power_bank_10.png,5000mAh 无线充电宝,초슬림 5000mAh 무선 보조배터리 OEM PD 20W 고속 충전,Ultra-Slim 5000mAh Wireless Power Bank with OEM PD 20W Fast Charging,초슬림 5000mAh 무선 보조배터리 OEM PD 20W 고속 충전,Ultra-Slim 5000mAh Wireless Power Bank with OEM PD 20W Fast Charging,Bancos de energía,El banco inalámbrico ultradelgado del poder 5000mAh con OEM PD 20W ayuna carga,Bancos de potência,Banco de potência sem fio ultrafino de 5000mAh com carregamento rápido OEM PD 20W,Banques d'alimentation,Banque d'alimentation sans fil ultra fine de 5 000 mAh avec charge rapide OEM PD 20 W,Banche di potere,Power bank wireless ultrasottile da 5000 mAh con ricarica rapida OEM PD da 20 W,Bank Daya,Bank Daya Nirkabel Ultra-Slim 5000mAh dengan Pengisian Cepat OEM PD 20W,Ngân hàng điện,Sạc dự phòng không dây siêu mỏng 5000mAh có sạc nhanh OEM PD 20W,พาวเวอร์แบงค์,พาวเวอร์แบงค์ไร้สายขนาดบางเฉียบ 5000mAh พร้อมการชาร์จเร็ว OEM PD 20W,Power Bank,Bank Kuasa Wayarles 5000mAh Ultra-Slim dengan Pengecasan Pantas 20W OEM PD,Mga Power Bank,Ultra-Slim 5000mAh Wireless Power Bank na may OEM PD 20W Fast Charging,ធនាគារថាមពល,Ultra-Slim 5000mAh Wireless Power Bank ជាមួយ OEM PD 20W Fast Charging,ပါဝါဘဏ်များ,OEM PD 20W အမြန်အားသွင်းစနစ်ပါရှိသော Ultra-Slim 5000mAh ကြိုးမဲ့ Power Bank,Power Banks,Ultra-Slim 5000mAh Wireless Power Bank ພ້ອມການສາກໄວ OEM PD 20W,باور بانك,بنك طاقة لاسلكي فائق النحافة بقدرة 5000 مللي أمبير في الساعة مع شحن سريع OEM PD بقدرة 20 وات,"₩7,846",7846,7846,False,KRW,"1,000 pieces",CE,"Shenzhen Golf & Feihuang Technology Co., Ltd.",선전 Golf & Feihuang 테크놀로지 유한회사. (중국),"Shenzhen Golf & Feihuang Technology Co., Ltd.",13,13 yrs,13년,CN,중국,https://golfhk.en.alibaba.com/company_profile.html,https://golfhk.en.alibaba.com/index.html?from=detail&productId=1601276974668,230029924,"Manufacturer,Trading Company","제조업체, 무역회사",301-500,301-500명,≤4h,≤4시간,87.5%,정시 배송률 87.5%,5.0,5.0/5점,4,4건,True,인증됨,https://www.alibaba.com/product-detail/Slim-Wireless-Power-Banks-Factory-Price_1601276974668.html
